"","dead","dvcat","seatbelt","frontal","sex","ageOFocc","yearVeh","airbag","occRole"
"3137","alive","25-39","belted","notfrontal","m",48,1989,"none","driver"
"6550","alive","55+","belted","frontal","m",16,1990,"none","driver"
"25012","alive","25-39","none","frontal","m",21,1989,"none","driver"
"11702","alive","10-24","belted","frontal","f",18,1998,"airbag","pass"
"24315","alive","10-24","belted","frontal","f",18,2001,"airbag","driver"
"19688","alive","55+","none","notfrontal","f",46,1983,"none","pass"
"7381","alive","25-39","belted","notfrontal","f",80,1987,"none","pass"
"15060","alive","10-24","belted","notfrontal","f",24,1995,"airbag","driver"
"24162","alive","25-39","none","frontal","m",16,1994,"none","pass"
"1014","alive","10-24","none","frontal","m",28,1995,"airbag","driver"
"18567","alive","10-24","belted","notfrontal","m",19,1991,"none","pass"
"25665","alive","10-24","none","frontal","f",59,2001,"airbag","driver"
"3030","alive","25-39","belted","frontal","m",43,1995,"airbag","driver"
"20495","alive","40-54","belted","frontal","m",30,1993,"none","driver"
"16696","alive","40-54","belted","frontal","m",75,1984,"none","driver"
"24198","alive","10-24","belted","notfrontal","m",18,2000,"airbag","driver"
"15344","alive","25-39","belted","frontal","f",45,1999,"airbag","driver"
"3119","alive","25-39","belted","frontal","f",18,1986,"none","driver"
"8284","alive","25-39","none","frontal","f",19,1985,"none","driver"
"12406","alive","10-24","belted","notfrontal","m",27,1988,"none","driver"
"9278","alive","40-54","none","notfrontal","m",20,1998,"airbag","driver"
"11619","alive","1-9km/h","belted","notfrontal","f",48,1998,"airbag","pass"
"16190","alive","10-24","belted","notfrontal","f",51,2000,"airbag","driver"
"10108","alive","10-24","belted","frontal","f",45,1996,"airbag","driver"
"20488","alive","25-39","belted","frontal","f",28,1992,"none","driver"
"10858","alive","25-39","none","frontal","f",42,1988,"none","driver"
"1847","alive","40-54","belted","frontal","m",46,1994,"none","driver"
"13391","alive","10-24","none","notfrontal","f",34,1988,"none","driver"
"15464","alive","10-24","belted","frontal","f",77,1999,"airbag","pass"
"17886","alive","25-39","none","frontal","f",23,2000,"airbag","pass"
"9992","alive","25-39","belted","frontal","m",20,1984,"none","driver"
"21177","alive","25-39","belted","frontal","f",57,1992,"airbag","driver"
"15097","alive","10-24","belted","notfrontal","f",48,1992,"none","pass"
"10776","alive","10-24","belted","notfrontal","m",45,1987,"none","driver"
"15873","alive","25-39","belted","frontal","m",39,1985,"none","driver"
"6628","alive","25-39","belted","frontal","m",35,1984,"none","driver"
"24893","alive","10-24","belted","frontal","m",58,1995,"airbag","driver"
"13487","dead","25-39","none","frontal","m",25,1991,"none","driver"
"8669","alive","10-24","none","notfrontal","m",36,1984,"none","driver"
"24937","alive","10-24","none","frontal","m",77,1992,"none","driver"
"13747","alive","10-24","belted","notfrontal","f",66,1991,"none","driver"
"8113","alive","25-39","belted","frontal","f",53,1990,"none","pass"
"9453","alive","25-39","none","frontal","m",24,1988,"none","driver"
"17314","alive","10-24","belted","notfrontal","f",26,1998,"airbag","pass"
"10330","alive","10-24","belted","frontal","f",42,1991,"none","driver"
"26079","alive","10-24","belted","frontal","m",47,1974,"none","driver"
"5777","alive","25-39","none","frontal","m",25,1998,"airbag","pass"
"19742","alive","10-24","belted","frontal","m",20,1999,"airbag","driver"
"2430","dead","40-54","none","frontal","m",25,1989,"none","driver"
"10484","alive","55+","none","notfrontal","m",50,1970,"none","pass"
"4853","alive","25-39","none","notfrontal","m",40,1984,"none","pass"
"2267","alive","10-24","belted","notfrontal","f",26,1991,"airbag","driver"
"19896","alive","55+","none","frontal","m",17,1988,"none","pass"
"24867","alive","25-39","belted","notfrontal","f",36,1996,"airbag","pass"
"8904","alive","25-39","belted","frontal","f",67,1995,"airbag","driver"
"18682","alive","10-24","belted","frontal","f",47,1999,"airbag","driver"
"11089","alive","10-24","belted","notfrontal","f",24,1999,"airbag","driver"
"19239","alive","25-39","belted","frontal","f",36,1997,"airbag","driver"
"1999","alive","10-24","belted","frontal","f",72,1993,"none","driver"
"361","alive","55+","belted","notfrontal","m",37,1994,"airbag","driver"
"26164","alive","25-39","belted","frontal","f",33,1993,"none","driver"
"20921","alive","55+","belted","frontal","f",20,1995,"airbag","driver"
"5393","alive","10-24","belted","notfrontal","f",19,1990,"none","pass"
